,Mean,STD,Skew,Kurtosis,alpha,beta,gamma,theta,delta
ch0,1.9149839267322577e-06,5.4057366592793334e-05,1.1973114624778052,8.781588140024613,5.1500387209907757e-11,8.38591261061949e-11,1.3930242597097593e-10,2.182476675460372e-10,1.668672525666425e-09
ch1,8.479186546558845e-07,9.240036589640971e-05,1.7727913205094874,16.550907851053953,1.2614331239068256e-10,1.5078357737505906e-10,1.1428659182246841e-10,1.0672491211251141e-09,5.50414923903404e-09
ch2,-1.0555776069742095e-07,1.968151335600964e-05,-0.1850627775385008,5.230602113394053,2.9836332896401625e-11,5.5880470291893916e-11,7.572794331479306e-11,5.407332919476082e-11,1.2326373555299685e-10
ch3,1.6280590471630205e-07,9.71495333806799e-05,0.9765858859927788,16.34073151757735,1.0736057784038737e-10,7.843669953915606e-11,5.7550738626228357e-11,9.779085058067917e-10,6.194120367553638e-09
ch4,6.817094065567027e-07,2.863319748259291e-05,1.5124331924553833,10.267118482959319,2.1222738256402373e-11,3.314417374406731e-11,2.8950570320714332e-11,8.879389069865212e-11,4.844066368588194e-10
ch5,7.61170200986717e-08,1.7833807784372493e-05,0.02042565109915034,9.395380704229249,2.5322341407508694e-11,2.942225309534641e-11,3.013027884633667e-11,6.009776406075101e-11,1.3586739964533948e-10
ch6,-8.520781081093597e-08,2.2356199938776694e-05,-0.09710289407759408,4.612337980717848,2.511300106151042e-11,4.179767694466226e-11,4.93795411472591e-11,7.702809387489772e-11,2.2469838725540374e-10
ch7,1.183916516052588e-06,8.589378521518641e-05,1.621769306699755,13.87956619723725,9.60039263407399e-11,2.0582107117542422e-10,1.5328738480348205e-10,7.456062496356817e-10,4.806191663610145e-09
ch8,4.5811349167648983e-07,2.5887498954491986e-05,1.0485542047307617,9.06556602045434,2.1121032616350345e-11,4.0356080136378995e-11,3.362258383895485e-11,9.07820127315411e-11,3.422491191043073e-10
ch9,-2.961883033501258e-07,4.373829456365967e-05,-1.2660347540787777,11.58715101221966,6.127761864713408e-11,2.855261006536326e-10,7.293598609879565e-10,1.301070639415717e-10,4.449968288020494e-10
ch10,4.124939257233255e-07,2.108260560664959e-05,0.935242518233234,6.299983368751249,1.1953300314357125e-11,1.110714924784255e-11,9.67181041970795e-12,5.638240575578335e-11,2.534007262115705e-10
ch11,1.421971555855178e-06,9.083922019665707e-05,1.8538158680897139,15.643986591236597,1.0010778738862619e-10,1.0771436666172572e-10,1.0438425954248628e-10,8.211944571129803e-10,5.8306920032046256e-09
ch12,7.216809810947493e-07,6.0164020681482645e-05,0.5029091432412445,4.55678945510183,5.773246818306963e-11,2.5737912928419e-10,6.306215050189402e-10,2.1764721372186566e-10,1.5237464193319764e-09
ch13,1.775638723548867e-07,1.8556833365228598e-05,0.009516255131251665,2.3731272147301183,1.1498114290498714e-11,1.7011955234503273e-11,1.9626111919995904e-11,6.666298871949975e-11,1.7589729048011818e-10
ch14,2.872186921354299e-08,2.643233469748922e-05,-0.08142529990848706,7.094973831362081,2.8466274781318767e-11,7.335398095353462e-11,1.3211337015734996e-10,5.7880105554046344e-11,2.9255426984331564e-10
ch15,2.7194844723391935e-07,1.6810549269537554e-05,0.34955901267755385,10.117415205493636,8.800914385982535e-12,1.090080611374343e-11,8.45171106677388e-12,3.5719739932057865e-11,1.6313574509044696e-10
ch16,3.448024802595415e-07,1.5910872136075796e-05,-0.6467000352312743,4.940591433472775,1.623901939649852e-11,1.4458131507554813e-11,1.5252012693933352e-11,3.508732750312558e-11,1.1912688225606728e-10
ch17,3.6491658136964057e-07,4.7602456964334315e-05,0.06217954192074042,55.118337677317356,2.617658121827263e-10,2.991809410604739e-10,1.5015206690279113e-10,5.649196599307717e-10,7.616331045148062e-10
